adress,adress_1
889 14TH STREET BOULDER,845 MOHAWK DR
889 ELLIOTT STREET LONGMONT,845 S GAY ST
8940 TAHOE LANE UNINCORPORATED,8451 PEAK TO PEAK HWY 7
895 33RD STREET BOULDER,846 COLLYER ST
8963 AUDUBON CT,8464 W FORK RD
8971 FOURMILE CANYON DRIVE UNINCORPORATED,848 HUBBARD DR
90 W BOULDER STREET NEDERLAND,849 S BROSS ST
900 MOUNTAIN VIEW AVENUE LONGMONT,85 BUCKNELL CT
900 PINE CONE ** UNINCORPORATED,85 HURON CT
900 PORTLAND PLACE BOULDER,850 20TH ST 302
901 TEMPTED WAYS DRIVE LONGMONT,850 20TH ST 304
903 18TH STREET UNIT 203 BOULDER,850 S LASHLEY LN
903 18TH STREET UNIT 301 BOULDER,851 16TH ST A
904 MARMOT CT,855 33RD ST
904 VETCH CIRCLE LAFAYETTE,8561 BRIDLE CT
905 GRANDVIEW AVENUE BOULDER,8590 N 39TH ST
905 MARMOT CT,8610 N 87TH ST
905 PENNSYLVANIA AVENUE BOULDER,865 8TH ST
905 SAINT ANDREWS LN,865 DELPHI DR
906 GLENWOOD DRIVE LAFAYETTE,865 HERMES CIR
906 STEIN STREET LAFAYETTE,870 12TH ST
907 TIMBER CT,870 15TH ST
907 YUCCA COURT LONGMONT,870 34TH ST
908 TROY STREET LAFAYETTE,870 S LASHLEY LN
909 QUARTZ COURT LONGMONT,8700 N 87TH ST
910 PORTLAND PL 11,872 S BERMONT AVE
910 PORTLAND PL 12,873 TIMBER LN
910 PORTLAND PL 13,877 LINCOLN PL
910 PORTLAND PL 23,8789 ELGIN DR
910 PORTLAND PLACE BOULDER,88 RIDGEVIEW LN
911 HARRISON DRIVE LAFAYETTE,885 WAITE DR
912 KIMBARK STREET LONGMONT,888 ROCKWAY PL
912 S BROSS STREET LONGMONT,889 14TH ST
913 ALTA STREET LONGMONT,889 ELLIOTT ST
914 5TH AVENUE LONGMONT,8940 TAHOE LN
9144 ROGERS ROAD UNINCORPORATED,895 33RD ST
916 TULIP STREET LONGMONT,8963 AUDUBON CT
917 HARRISON DRIVE LAFAYETTE,8971 FOURMILE CANYON DR
9179 ALJAN DR,90 W BOULDER ST
918 PINON COURT LONGMONT,900 MOUNTAIN VIEW AVE 212
9188 JOTIPA DRIVE UNINCORPORATED,900 PINE ST
919 21ST AVENUE LONGMONT,900 PORTLAND PL
9198 JOTIPA DRIVE UNINCORPORATED,901 TEMPTED WAYS DR
920 SUNFLOWER STREET LOUISVILLE,903 18TH ST 203
921 HOMER CIRCLE LAFAYETTE,903 18TH ST 301
922 HERMAN PLACE LONGMONT,904 MARMOT CT
922 S COFFMAN STREET LONGMONT,904 VETCH CIR
923 SAINT ANDREWS LN,905 GRANDVIEW AVE
923 TERRY STREET LONGMONT,905 MARMOT CT
924 E 4TH AVENUE LONGMONT,905 PENNSYLVANIA AVE
9248 HILLS VIEW DRIVE UNINCORPORATED,905 SAINT ANDREWS LN
925 E 5TH AVENUE LONGMONT,906 GLENWOOD DR
927 E 4TH AVENUE LONGMONT,906 STEIN ST
928 LA FARGE AVENUE LOUISVILLE,907 TIMBER CT
928 MARMOT CT,907 YUCCA CT
929 ALTA STREET LONGMONT,908 TROY ST
93 CEDAR DRIVE UNINCORPORATED,909 QUARTZ CT
93 PINE NEEDLE ROAD UNINCORPORATED,910 PORTLAND PL 11
930 VENICE STREET LONGMONT,910 PORTLAND PL 12
933 E 4TH AVENUE LONGMONT,910 PORTLAND PL 13
933 UNIVERSITY AVENUE BOULDER,910 PORTLAND PL 17
935 VENICE STREET LONGMONT,910 PORTLAND PL 23
936 LA FARGE AVENUE LOUISVILLE,910 PORTLAND PL 3
936 MAPLETON AVENUE BOULDER,911 HARRISON DR
939 ALTA STREET LONGMONT,912 KIMBARK ST
939 BLUE SPRUCE COURT LONGMONT,912 S BROSS ST
939 BROSS STREET,913 ALTA ST
940 10TH STREET BOULDER,914 5TH AVE
940 COLUMBIA PLACE UNINCORPORATED,9144 ROGERS RD
940 TERRY STREET LONGMONT,916 TULIP ST
941 W MAPLE COURT LOUISVILLE,917 HARRISON DR
942 WARREN CT,9179 ALJAN DR
943 10TH STREET BOULDER,918 PINON CT
943 SUNSET STREET LONGMONT,9188 JOTIPA DR
943 TERRY STREET LONGMONT,919 21ST AVE
945 KLONDIKE AVE,9198 JOTIPA DR
946 PORTLAND PLACE BOULDER,920 SUNFLOWER ST
946 SPRUCE STREET BOULDER,921 HOMER CIR
947 MALORY STREET LAFAYETTE,922 HERMAN PL
947 PRATT STREET LONGMONT,922 S COFFMAN ST
948 NORTH STREET UNIT 10 BOULDER,923 SAINT ANDREWS LN
948 NORTH STREET UNIT 11 BOULDER,923 TERRY ST
949 GRANITE COURT LONGMONT,924 E 4TH AVE
950 HOMER CIRCLE LAFAYETTE,9248 HILLS VIEW DR
951 17TH AVENUE 103 BOULDER,925 E 5TH AVE
951 17TH AVENUE 74 BOULDER,927 E 4TH AVE
951 17TH AVENUE 76 BOULDER,928 LILAC ST
951 17TH AVENUE 88 BOULDER,928 MARMOT CT
955 35TH STREET BOULDER,929 ALTA ST
955 UNIVERSITY AVENUE BOULDER,93 CEDAR DR
955 W PLUM CIRCLE LOUISVILLE,93 PINE NEEDLE RD
956 MILO CIR A,930 VENICE ST
956 W MAPLE COURT LOUISVILLE,933 E 4TH AVE
96 ARTESIAN DRIVE UNINCORPORATED,933 UNIVERSITY AVE
960 10TH STREET BOULDER,935 VENICE ST
960 ELDORADO AVENUE UNINCORPORATED,936 LA FARGE AVE
961 11TH STREET BOULDER,936 MAPLETON AVE
961 15TH STREET BOULDER,939 ALTA ST
961 GRANDVIEW AVENUE BOULDER,939 BLUE SPRUCE CT
961 PLEASANT STREET BOULDER,939 BROSS ST
9626 MOUNTAIN RIDGE DRIVE UNINCORPORATED,940 14TH ST
963 7TH STREET BOULDER,940 COLUMBIA PL
964 COLUMBIA PLACE UNINCORPORATED,940 TERRY ST
968 STEARNS AVENUE UNINCORPORATED,941 W MAPLE CT
970 9TH STREET BOULDER,942 WARREN CT
977 SIR GALAHAD DRIVE UNIT D LAFAYETTE,943 10TH ST
9810 PEAK TO PEAK HWY,943 SUNSET ST
983 CHERRYVALE RD,943 TERRY ST
986 ARAPAHOE AVENUE BOULDER,945 KLONDIKE AVE
99 CANYONSIDE DRIVE UNINCORPORATED,946 PORTLAND PL
99 MAIN ** UNIT 47 JAMESTOWN,946 SPRUCE ST
990 ROSE HILL DRIVE BOULDER,947 MALORY ST
990 SOUTH PUBLIC COMMERCIAL CONDOS,947 PRATT ST
9960 PHILLIPS ROAD UNINCORPORATED,948 NORTH ST 10
APPLE VALLEY RIDGE NUPUD,948 NORTH ST 11
FOURMILE CANYON DRIVE UNINCORPORATED,949 GRANITE CT
PINE BROOK HILLS UNIT 7 LOTS 366 365,950 HOMER CIR
STEAMBOAT RD,951 17TH AVE 103
1037 MAXWELL AVE 1,951 17TH AVE 74
1065 UNIVERSITY AVE 216,951 17TH AVE 76
1110 MONROE DR B,951 17TH AVE 88
1200 COLLEGE AVE 223,955 35TH ST
1365 BEAR MOUNTAIN DR B,955 UNIVERSITY AVE
1575 BLUE SAGE CT,955 W PLUM CIR
1818 SAMOS CIR 108,956 MILO CIR A
2119 MEADOW CT A,956 W MAPLE CT
22 CENTAUR CT B,96 ARTESIAN DR
222 S MAIN ST 27,960 11TH AVE
285 VULCAN ST,960 ELDORADO AVE
3025 BROADWAY ST 2,961 11TH ST
3172 CRIPPLE CREEK TRL 19,961 15TH ST
344 JUDSON ST,961 GRANDVIEW AVE
3870 BROADWAY ST 18,961 PLEASANT ST
4682 WHITE ROCK CIR 12,9626 MOUNTAIN RIDGE DR
4789 WHITE ROCK CIR B,963 7TH ST
4823 WHITE ROCK CIR C,964 COLUMBIA PL
4955 MOORHEAD AVE 8,968 STEARNS AVE
5000 BUTTE ST 117,970 9TH ST
5540 STONEWALL PL 12,977 SIR GALAHAD DR D
5540 STONEWALL PL 15,9810 PEAK TO PEAK HWY
5924 GUNBARREL AVE C,983 CHERRYVALE RD
600 S PEAK TO PEAK HWY,986 ARAPAHOE AVE
6118 HABITAT DR 2,99 CANYONSIDE DR
625 MANHATTAN PL 108,99 MODEL T RD
630 GAY ST,990 ROSEHILL DR
665 MANHATTAN DR 206,990 SPARTA DR
745 THOMAS DR 19,9960 PHILLIPS RD
836 WALNUT ST D,FOURMILE CANYON DR
910 PORTLAND PL 17,RIDGE RD
,STEAMBOAT VLY
